year,china,outside
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,1,3
1943,11,19
1944,25,65
1945,46,86
1946,24,42
1947,16,39
1948,13,38
1949,16,20
1950,16,30
1951,17,53
1952,17,54
1953,11,72
1954,26,97
1955,26,85
1956,233,85
1957,393,89
1958,390,95
1959,435,99
1960,417,100
1961,463,100
1962,442,100
1963,438,99
1964,290,75
1965,6,67
1966,0,45
1967,0,47
1968,1,42
1969,1,40
1970,1,40
1971,1,17
1972,0,6
1973,568,189
1974,630,217
1975,558,197
1976,529,197
1977,510,203
1978,510,215
1979,541,229
1980,651,231
1981,648,220
1982,642,214
1983,636,233
1984,638,233
1985,592,210
1986,541,209
1987,539,214
1988,543,228
1989,551,237
1990,512,227
1991,507,192
1992,511,201
1993,511,211
1994,508,210
1995,506,213
1996,503,216
1997,500,221
1998,485,221
1999,475,234
2000,438,220
2001,514,290
2002,563,296
2003,317,269
2004,326,252
2005,311,243
2006,297,221
2007,310,229
2008,297,214
2009,300,258
2010,362,205
2011,296,232
2012,302,234
2013,299,233
2014,303,240
2015,297,291
2016,299,297
2017,297,315
2018,302,312
2019,297,315
2020,299,318
2021,297,313
2022,296,315
2023,297,315
2024,293,311
2025,289,304
